Site/Stage,Almirante Adults,Almirante Tadpoles,Colon Adults,Colon Tadpoles,Popa Adults,Popa Tadpoles,Pastores Tadpoles,Pastores Adults,Solarte Tadpoles,Solarte Adults
215,0,0,0,1,0,0,0,0,0,1
236,0,0,0,0,0,0,0,0,0,1
191B,0,0,0,0,0,0,0,0,0,1
195A,0,0,0,0,0,0,0,0,0,1
195B(1),0,0,0,0,0,0,0,0,0,1
195B(2),0,0,1,1,0,1,0,0,1,1
195C,0,0,0,1,0,0,0,0,0,0
195F,0,0,0,0,0,0,0,0,0,1
195F(2),0,0,0,1,0,0,0,0,0,1
195G(1),0,0,0,0,0,0,0,1,0,1
195I,0,0,0,0,1,0,0,0,0,0
195J,0,0,0,1,0,0,0,0,0,0
195K,0,0,0,0,0,0,0,0,0,1
195NEW,0,1,0,0,0,0,0,1,0,0
197E(2),0,0,0,1,0,0,0,0,0,0
201A(2),0,0,0,0,0,0,0,0,0,1
203A,0,1,0,1,0,0,0,0,0,0
203B,0,1,0,0,0,0,0,0,0,0
203B(2),0,1,0,0,0,0,0,0,0,0
205A,0,0,0,1,0,0,0,0,0,0
205A,0,0,0,0,0,0,0,0,0,1
205A(1),0,0,0,1,0,1,0,1,0,1
205A(2),0,0,0,1,0,0,0,1,0,1
205B,0,0,0,0,0,0,0,0,1,1
205H(2),0,1,0,0,0,0,0,0,0,0
205K(1),0,1,0,0,0,0,0,0,0,0
207A,0,0,1,1,1,1,0,0,0,0
207A,0,0,1,1,0,0,0,0,0,1
207A,0,0,1,1,0,0,0,0,0,0
207C,0,1,0,0,0,0,0,0,0,0
207F,0,0,0,0,0,0,0,1,0,0
207GH(1),0,0,1,0,0,0,0,0,0,0
207GH(2),1,1,1,0,0,0,0,0,0,0
207N,1,1,0,0,0,0,0,1,0,0
207O,1,0,0,0,0,0,0,0,0,0
209B,0,0,0,1,0,0,0,0,0,0
209C,0,0,0,0,0,1,0,0,0,0
209F,0,1,0,0,0,0,0,0,0,0
209G,0,0,1,1,0,0,0,0,0,0
209G,0,0,1,1,0,0,0,0,0,0
209I,0,1,0,1,0,1,1,1,0,0
209S,0,0,0,1,0,1,0,0,0,0
211A,0,0,0,0,0,1,0,0,1,1
211K,0,0,1,1,0,0,0,0,0,0
217B(2),0,1,0,0,0,0,0,0,0,0
219F,0,1,0,0,0,0,0,0,0,0
219F,1,1,0,0,1,1,0,0,0,0
219I(2),0,1,0,0,0,0,0,1,0,0
219L,0,0,0,0,1,1,0,0,0,0
221I,0,0,0,0,0,1,0,0,0,0
221J,0,0,0,1,0,0,0,0,0,0
221P,0,1,0,0,0,0,0,0,0,0
223A,0,0,0,1,0,0,0,0,0,0
223A,0,0,0,0,0,0,0,1,0,0
223A(1),0,1,1,1,0,0,0,1,0,1
223AB(2),0,1,0,0,0,0,0,0,0,0
223B,0,0,0,0,0,1,0,0,0,0
223B,0,0,0,0,0,1,0,0,0,0
223D(3),0,0,0,1,0,1,0,1,0,0
223F,0,0,0,0,0,1,0,0,0,0
223F(2),0,1,0,0,0,0,0,1,0,0
223G,0,1,0,0,0,0,0,0,0,0
223H,0,0,0,0,0,1,0,0,0,0
223H(1),1,1,0,0,0,1,0,1,0,1
223H(2),0,0,0,1,0,0,0,1,0,1
223J,0,0,0,1,0,0,0,1,0,0
223P,0,0,0,1,0,0,0,0,0,1
223Q,0,0,0,1,0,0,0,0,0,0
223Q,0,0,0,1,0,0,0,0,0,0
223X(2),0,0,0,0,0,0,0,1,0,0
225D,0,0,0,1,0,0,0,0,0,0
231A(1),1,1,0,0,1,1,1,1,0,0
231A(2),1,1,0,0,0,0,0,0,0,0
231B,0,0,0,1,0,0,0,0,0,0
231B,0,1,0,0,0,0,0,0,0,0
231B(1),1,1,1,1,1,1,0,1,0,1
231B(2),0,1,0,0,0,1,0,1,0,0
231C,0,1,0,0,0,0,0,0,0,0
231C(1),0,0,0,0,0,1,0,0,0,0
231L,0,0,0,0,0,0,0,0,0,1
231N,0,1,0,0,0,0,0,0,0,0
231New_6,0,1,0,0,0,0,0,0,0,0
233A,0,1,0,0,0,0,0,0,0,0
233A,0,1,0,0,0,0,0,0,0,0
233A(2),1,1,0,0,1,1,1,1,0,0
233D,0,0,0,0,0,0,0,0,0,1
233D,0,0,0,0,0,0,0,0,0,1
233D,0,0,0,0,0,0,0,0,1,1
233D(1),0,0,0,0,0,0,0,0,0,1
233E,0,0,0,0,0,0,0,0,0,1
235K(2),0,0,0,0,0,0,0,0,0,1
235A'(1),0,0,0,0,0,1,0,0,0,0
235A(1),0,0,0,0,0,0,0,0,0,1
235B'(1),0,0,0,1,1,1,0,0,0,1
"235B""",0,0,0,0,1,1,0,0,0,0
"235B""(1)",0,0,0,0,0,0,0,0,1,1
"235B""(2)",0,0,0,0,0,0,0,0,0,1
235E(1),0,0,0,0,0,1,0,0,0,0
235J,0,0,0,1,0,0,0,0,0,0
235P,0,0,0,1,0,0,0,0,0,0
237C(1),0,0,1,1,0,0,0,0,0,1
237D,0,0,0,0,0,1,0,0,0,0
237D,0,1,0,0,0,0,0,0,0,0
237G(1),0,0,0,0,0,1,0,0,0,0
237L,0,0,0,1,1,0,0,0,0,0
239CC,0,0,0,1,0,0,0,0,0,0
241G,0,0,0,1,0,0,0,0,0,0
243A,0,0,0,0,0,0,0,0,0,1
243A,0,0,0,0,0,0,0,0,0,1
243F,0,0,0,0,0,1,0,0,0,0
245B(2),0,0,0,0,0,0,0,0,0,1
245F,0,0,0,0,0,1,0,0,0,0
245I,0,0,0,0,0,1,0,0,0,0
247E(1),0,1,0,0,0,0,0,1,0,0
249BB,0,0,0,0,0,0,0,0,0,1
249O,0,0,0,0,0,0,0,1,0,1
249Q,0,1,0,0,0,0,0,0,0,0
251B,0,0,0,0,0,1,0,0,0,0
251B,0,0,0,0,0,0,0,0,0,1
251B,0,0,0,0,1,0,0,0,0,1
251B(1),0,0,0,0,0,0,0,0,1,1
251B(2),0,0,0,0,0,0,0,0,0,1
251D,0,0,0,1,0,1,0,0,0,0
251K,0,0,0,0,0,0,0,0,0,1
251K,1,0,0,0,0,0,0,0,0,0
251K(2),0,0,0,0,0,0,0,0,0,1
251N,0,0,0,0,0,0,0,1,0,0
251N,0,0,0,0,0,0,1,1,0,0
251O,0,0,0,0,0,1,0,0,0,0
252A,0,0,0,0,0,0,0,0,1,1
253A,0,0,0,0,0,1,0,0,0,0
253B(1),0,0,0,0,0,0,0,0,0,1
253H,0,0,0,1,1,0,0,0,0,1
253J,0,0,0,1,0,1,0,1,0,0
259B,0,0,0,1,0,1,0,1,0,1
259B,0,1,0,1,0,0,0,0,0,0
259E(1),0,0,0,1,0,0,0,0,0,0
261D,0,1,0,1,0,0,0,0,0,0
263A,0,1,0,0,0,0,0,1,0,0
263A,0,0,0,1,0,0,0,0,0,0
263A(1),1,1,0,1,0,0,0,1,0,1
267A,0,0,0,1,0,1,0,0,0,0
267J,1,1,0,0,1,1,0,0,0,0
267K,0,0,0,1,0,0,0,0,0,0
267K,0,0,0,1,0,0,0,0,0,0
269C,0,0,0,1,0,0,0,0,0,0
269D,0,1,0,1,0,1,0,0,0,0
267K,0,0,0,1,0,0,0,0,0,0
271A,0,1,0,1,0,0,0,0,0,0
273B,0,1,0,1,0,0,0,0,0,0
275B,0,0,0,0,0,0,0,1,0,1
275B,0,0,0,0,0,0,0,1,0,0
275E,1,1,0,1,0,0,0,0,0,0
275E,1,1,0,1,0,1,0,0,0,0
275G,0,0,0,0,0,1,0,0,0,0
275G,0,1,0,1,0,0,0,1,0,0
277A,0,1,0,0,0,0,0,0,0,0
277E,0,1,0,0,0,0,0,0,0,0
277E,1,1,0,1,0,0,0,1,0,1
277E,0,0,0,1,0,0,0,0,0,0
279I,0,0,0,1,0,0,0,0,0,1
289C,0,0,0,0,0,0,0,0,0,1
289C,0,0,0,0,0,0,0,0,0,1
289C,0,0,0,0,0,0,0,0,1,1
291G(2),0,0,0,0,0,0,0,0,0,1
293C,0,1,0,1,0,0,0,1,0,0
305A,0,0,0,1,0,0,0,0,0,1
305A,0,0,0,0,0,0,0,0,0,1
305A,0,0,0,0,0,0,0,0,0,1
305A,0,0,0,0,0,0,0,0,0,1
305A,0,0,0,0,0,0,0,0,1,1
305B,0,0,0,0,0,0,0,0,0,1
305B,0,0,0,0,0,0,0,0,0,1
305B,0,0,0,0,0,0,0,0,0,1
305B,0,0,0,0,0,0,0,0,0,1
305B,0,0,0,0,0,0,0,0,0,1
305B,0,0,0,0,0,0,0,0,0,1
305D,0,0,0,0,0,0,0,0,0,1
305D,0,0,0,0,0,0,0,0,0,1
307A,0,0,0,0,0,0,0,0,0,1
307A(1),0,0,0,0,0,0,0,0,1,1
307F(1),0,0,0,0,0,0,0,0,0,1
307F(2),0,0,0,0,0,0,0,0,0,1
309C,0,0,0,0,0,0,0,0,0,1
309D,0,0,0,1,0,0,0,0,0,0
321C,0,0,0,0,0,0,0,0,0,1
323B,0,0,0,0,0,0,0,0,0,1
323F,0,0,0,0,0,0,0,0,1,1
325A(1),0,0,0,0,0,0,0,0,0,1
339A,0,0,0,0,0,0,0,0,0,1
353B,0,1,0,0,0,0,0,0,0,0
395B,0,0,0,0,0,0,0,0,0,1
cis-195A,0,1,0,0,1,1,0,0,1,1
cis-219A,0,0,0,0,0,0,0,0,0,1
cis-239K,0,0,0,0,0,1,0,0,0,0
cis-243A,0,0,0,0,0,0,0,0,0,1
NEW181 RT5.41,0,1,0,0,0,0,0,0,0,0
NEW209 RT8.88,0,0,0,1,0,0,0,0,0,1
New209 Rt8.99,0,0,0,1,0,0,0,0,0,1
NEW217 RT9.81,0,0,0,0,0,1,0,0,0,0
New219 RT8.42,0,0,0,0,0,1,0,0,0,0
New219 RT9.41,0,0,0,0,0,1,0,0,0,0
New221 Rt9.26,0,0,0,0,0,0,0,0,0,1
New222 Rt8.38,0,1,0,0,0,0,0,0,0,0
New222 RT9.58,0,0,0,0,0,0,0,0,0,1
NEW231 RT9.91,0,1,0,0,0,0,0,0,0,0
New239 RT11.19,0,1,0,1,0,0,0,0,0,0
New239 RT11.62,0,1,0,1,0,0,0,0,0,0
New253 RT11.80,0,1,0,0,0,0,0,0,0,0
New281 RT10.01,0,0,0,0,0,0,0,0,0,1
New281 RT9.77,0,0,0,0,0,0,0,0,0,1
trans-195A,0,0,0,0,0,0,0,0,0,1
trans-239L,0,0,0,0,0,0,0,0,0,1
Trans-269AB,0,0,0,0,0,0,0,1,0,0
Tri231New_1,0,1,0,0,0,0,0,0,0,0
Tri231New_2,0,1,0,0,0,1,0,0,0,0
Tri231New_3,0,1,0,0,0,1,0,0,0,0
Tri231New_4,0,0,0,0,0,1,0,0,0,0
Tri231New_5,0,1,0,0,0,0,0,0,0,0
Tri231New_6,0,0,0,0,0,1,0,0,0,0
Tri231New_7,0,1,0,0,0,1,0,0,0,0
